NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SEC24A	3	212900_at:212902_at:244841_at	
PRRX1	3	205991_s_at:226695_at:238852_at	
NICN1	1	223442_at	
PRRX2	1	219729_at	
LOC105373958	1	1557774_at	
LYSMD2	1	226748_at	
IMMT	1	200955_at	
LYSMD1	1	232283_at	
LYSMD4	2	212535_at:228954_at	
TPD52L3	2	231554_at:240051_at	
LYSMD3	1	226321_at	
TPD52L1	2	210372_s_at:203786_s_at	
MCOLN1	1	219952_s_at	
MCOLN2	2	1555465_at:230110_at	
TPD52L2	1	201379_s_at	
ATOX1	1	203454_s_at	
CTCFL	1	1552368_at	
ROR1-AS1	1	1562823_at	
TMLHE	3	1554206_at:218790_s_at:222744_s_at	
DOP1B	2	205248_at:215219_at	
NOVA1	3	207437_at:231614_at:205794_s_at	
DOP1A	4	1564387_at:213267_at:213271_s_at:40612_at	
NOVA2	4	235560_at:238904_at:206476_s_at:206477_s_at	
TTTY14	2	224003_at:207063_at	
NT5C1A	1	224529_s_at	
NT5C1B	2	243100_at:1554368_at	
TTTY15	1	214983_at	
TTTY12	1	224195_at	
LINC02525	1	1569372_at	
TTTY13	1	224292_at	
TTTY10	1	224293_at	
TTTY11	1	224174_at	
SEC24D	3	202375_at:215209_at:215641_at	
ALDH8A1	1	220148_at	
SEC24C	1	202361_at	
LINC02523	1	1569647_at	
LINC01197	1	1562901_at	
LINC01198	1	1553614_a_at	
JPT1	2	222396_at:217755_at	
TMEM41A	2	225991_at:235037_at	
PLEKHB2	3	224121_x_at:201411_s_at:201410_at	
TMEM41B	2	212622_at:212623_at	
LINC01193	1	231132_at	
JPT2	3	212109_at:212115_at:216031_x_at	
ZAN	5	224263_x_at:224265_s_at:224267_x_at:224264_x_at:224268_x_at	
PLEKHB1	3	209504_s_at:229047_at:229046_s_at	
JMJD1C	5	228793_at:241661_at:224933_s_at:221763_at:241659_at	
LINC01191	3	230796_at:243795_s_at:230797_s_at	
LINC01192	2	1561492_at:240371_at	
CYB5D2	1	225804_at	
CTD-2350J17.1	1	240707_at	
CYB5D1	2	1552711_a_at:226833_at	
RASSF1	2	204346_s_at:240278_at	
RASSF2	1	203185_at	
RASSF3	3	233233_at:227167_s_at:230466_s_at	
RASSF4	5	221578_at:237294_at:236287_at:49306_at:226436_at	
RASSF5	2	1554834_a_at:223322_at	
RASSF6	3	233463_at:229147_at:235638_at	
CALN1	3	223885_at:230698_at:1555168_a_at	
TMPO	5	203432_at:237863_at:209754_s_at:209753_s_at:224944_at	
LINC01186	1	1559929_at	
LINC01187	2	240807_at:239420_at	
LINC01189	1	1560833_at	
IMP3	1	221688_s_at	
LINC01184	4	235628_x_at:230685_at:244769_at:228686_at	
LINC01180	1	1561400_at	
IMP4	1	212411_at	
LINC01181	2	1562433_at:232326_at	
C5orf17	1	1552954_at	
C5orf15	2	229260_at:203024_s_at	
CD2BP2	2	202257_s_at:202256_at	
LORICRIN	1	207720_at	
UPRT	1	226199_at	
PLA1A	1	219584_at	
PCDH10	4	228635_at:1556328_at:1556329_a_at:1552925_at	
PCDH15	2	1560330_at:1553344_at	
BRCC3	4	231913_s_at:229436_x_at:216521_s_at:221196_x_at	
PCDH12	1	219656_at	
PCDH19	1	227282_at	
PCDH18	2	225977_at:225975_at	
PCDH17	3	228863_at:227289_at:205656_at	
ZMPSTE24	1	202939_at	
C5orf24	6	224876_at:229098_s_at:1553107_s_at:1553108_at:1553106_at:224875_at	
C5orf22	3	203738_at:1565939_at:1552660_a_at	
OR7D2	1	1562337_at	
SEC31B	1	209889_at	
PAG1	3	225622_at:227354_at:225626_at	
SEC31A	2	210616_s_at:200945_s_at	
PIK3CD-AS2	2	1557339_at:1557341_x_at	
PIK3CD-AS1	1	1559638_at	
XRCC6	2	200792_at:215308_at	
XRCC4	4	205072_s_at:210812_at:205071_x_at:210813_s_at	
XRCC5	3	208643_s_at:232633_at:208642_s_at	
XRCC2	1	207598_x_at	
TRAV12-2	1	211667_x_at	
PCDH20	1	232054_at	
XRCC3	1	216299_s_at	
EAF1	1	226952_at	
EAF2	3	219551_at:1568672_at:1568673_s_at	
RASSF7	2	40359_at:204927_at	
DCLK3	1	232399_at	
XRCC1	1	203655_at	
RASSF8	4	225946_at:235996_at:241735_at:207754_at	
DCLK2	3	216725_at:227666_at:216724_at	
PNMA8A	1	218824_at	
RASSF9	2	241470_x_at:210335_at	
DCLK1	4	205399_at:229800_at:230962_at:215303_at	
PNMA8B	1	232003_at	
ATP4B	3	1563407_x_at:207546_at:1563405_at	
TRDN-AS1	1	1560164_at	
ATP4A	1	207139_at	
C5orf34	1	229886_at	
LOC154761	1	227868_at	
PAF1	1	202093_s_at	
PAEP	1	206859_s_at	
RGL3	3	1556354_s_at:228877_at:1556355_x_at	
CALM3	3	200622_x_at:200623_s_at:1563431_x_at	
KIAA1614-AS1	1	232320_at	
RGL4	1	235816_s_at	
CALM1	8	211984_at:200655_s_at:209563_x_at:200653_s_at:213688_at:213710_s_at:241619_at:211985_s_at	
OR7C2	1	208507_at	
RGL1	1	209568_s_at	
KIAA0825	2	233915_at:1553868_a_at	
SHISAL2A	2	237033_at:1555379_at	
CALM2	1	207243_s_at	
RGL2	1	209110_s_at	
OR7C1	1	216690_at	
VSX1	4	222972_at:221124_s_at:224074_at:224075_s_at	
LINC01153	1	1560690_at	
INTS11	5	224312_x_at:233563_s_at:233625_x_at:232437_at:217994_x_at	
BARHL1	1	224092_at	
INTS12	1	218616_at	
LINC02487	2	1563894_at:1561685_a_at	
INTS13	1	221652_s_at	
INTS14	2	221265_s_at:1568801_at	
LINC02481	2	1562697_at:1562698_x_at	
GPAA1	3	215690_x_at:201618_x_at:211060_x_at	
LINC02483	1	1562983_at	
INTS10	4	237504_at:1560172_at:229632_s_at:229633_at	
SECTM1	1	213716_s_at	
BRCA1	2	204531_s_at:211851_x_at	
BRCA2	2	208368_s_at:214727_at	
C5orf46	1	1554195_a_at	
RNA45SN5	1	225762_x_at	
LOC285191	1	1562632_at	
C5orf49	1	239722_at	
C5orf47	2	1557057_a_at:1557056_at	
ARIH2	5	216008_s_at:201228_s_at:201229_s_at:201230_s_at:227932_at	
QSOX1	3	230523_at:201482_at:226706_at	
ARIH1	6	201879_at:201878_at:201880_at:201881_s_at:1558401_at:241658_at	
QSOX2	2	227146_at:235239_at	
LINC01146	1	1559363_at	
LINC01148	1	1561442_at	
LINC01149	1	1569779_at	
NBPF4	1	1553910_at	
LINC01142	1	1557682_a_at	
NXPE3	4	243011_at:217540_at:235030_at:243606_at	
VKORC1	1	217949_s_at	
NXPE4	1	220645_at	
GRIPAP1	1	225451_at	
LINC01144	1	1564697_a_at	
LINC02475	1	1557219_at	
NBPF3	2	1558825_s_at:223638_at	
NBPF8	1	237917_at	
NXPE1	2	1561387_a_at:1553828_at	
TMEM198B	2	1557124_at:227106_at	
LINC01140	2	235870_at:215039_at	
LINC01141	1	1557373_at	
ZFR	4	213286_at:201856_s_at:33148_at:201857_at	
SORCS1	2	1556891_at:228194_s_at	
ZFY	3	207246_at:207247_s_at:230760_at	
SORCS3	1	215522_at	
RGMB	4	227339_at:226989_at:242450_at:227340_s_at	
ZFX	4	207920_x_at:217176_s_at:229022_at:214678_x_at	
NBPF1	7	230712_at:214693_x_at:229447_x_at:236273_at:212854_x_at:213612_x_at:226740_x_at	
SORCS2	1	228720_at	
C5orf51	2	238809_at:226159_at	
RGMA	2	234406_at:223468_s_at	
PNMA6A	1	235758_at	
ATP2A1-AS1	2	230693_at:230696_at	
C5orf58	3	1554115_at:237955_at:237956_s_at	
MZB1	2	221286_s_at:223565_at	
LINC01139	1	235599_at	
LINC02466	1	1557753_at	
LINC01136	1	215756_at	
LINC01137	1	229678_at	
LINC01138	3	1556457_s_at:1556456_at:1556033_at	
POPDC2	1	219647_at	
POPDC3	1	219926_at	
ATP23	2	227678_at:1554349_at	
INPP1	1	202794_at	
DERL3	4	229721_x_at:228897_at:229719_s_at:228898_s_at	
DERL1	4	219402_s_at:222543_at:225488_at:218172_s_at	
CRYBA2	1	220136_s_at	
TXLNG	3	227520_at:219969_at:1557954_at	
CRYBA1	1	206982_at	
DERL2	2	226719_at:218333_at	
CRYBA4	1	206843_at	
C5orf64	1	1553426_at	
C5orf63	4	230404_at:236642_at:239623_at:244761_at	
EXOSC7	2	213648_at:212627_s_at	
EXOSC6	3	227696_at:1553947_at:1558044_s_at	
TTTY8B	2	224143_at:224142_s_at	
PAK1	4	209615_s_at:226507_at:230100_x_at:1565772_at	
EXOSC5	1	218481_at	
C5orf66	1	220375_s_at	
EXOSC4	4	91684_g_at:58696_at:91682_at:218695_at	
EXOSC9	1	205061_s_at	
EXOSC8	1	215136_s_at	
PAK6	2	1555310_a_at:219461_at	
PAK3	2	229201_at:214607_at	
EXOSC3	6	227913_at:223489_x_at:227916_x_at:233495_at:227912_s_at:223490_s_at	
PAK2	6	208875_s_at:205962_at:208876_s_at:208877_at:1559052_s_at:208878_s_at	
LINC01169	1	1563132_at	
EXOSC2	3	216117_at:214507_s_at:209527_at	
LINC02499	1	240380_at	
EXOSC1	3	1559044_at:218369_s_at:222609_s_at	
PAK5	2	213990_s_at:210721_s_at	
PAK4	3	203154_s_at:215326_at:33814_at	
LINC01165	1	1564490_at	
PLEKHA1	2	226247_at:219024_at	
LINC02492	1	237312_at	
PLEKHA2	3	217677_at:225136_at:238013_at	
CRYBB1	1	206185_at	
LINC02493	1	1561454_at	
CRYBB3	1	207685_at	
PLEKHA5	3	214989_x_at:233040_at:220952_s_at	
PLEKHA6	2	205093_at:229245_at	
CRYBB2	2	206778_at:206777_s_at	
PLEKHA3	3	223370_at:227659_at:227658_s_at	
PLEKHA4	1	219011_at	
PLEKHA7	2	242417_at:228450_at	
PLEKHA8	6	224208_at:1560556_a_at:227247_at:233943_x_at:232212_at:231543_at	
RGP1	1	203169_at	
TTTY9B	1	211460_at	
DPY19L1	5	215433_at:212792_at:1560915_at:1560916_a_at:1570355_a_at	
DPY19L2	2	238784_at:230158_at	
DPY19L3	1	225633_at	
DPY19L4	3	226721_at:213391_at:1556613_s_at	
STK17A	3	202695_s_at:202693_s_at:202694_at	
STK17B	4	226525_at:217503_at:205214_at:243797_at	
NPHP3-AS1	2	1556887_at:1569882_at	
LINC01159	1	244797_at	
FHOD3	1	218980_at	
WWC1	8	236725_at:216074_x_at:1554511_at:213085_s_at:229180_at:237238_at:241950_at:243290_at	
FHOD1	1	218530_at	
WWC2	4	1554762_a_at:218775_s_at:237656_at:222738_at	
JADE1	4	218517_at:235024_at:225816_at:225820_at	
CUTALP	4	1555892_s_at:231828_at:239958_at:241249_at	
JADE3	1	204866_at	
KNDC1	3	230558_at:230359_at:233146_at	
JADE2	3	212660_at:208202_s_at:232279_at	
WWTR1-AS1	1	1562765_at	
RGS4	3	204337_at:204338_s_at:204339_s_at	
RGS5	6	1555725_a_at:218353_at:209070_s_at:209071_s_at:230678_at:1558785_a_at	
RGS2	1	202388_at	
RGS3	3	203823_at:220300_at:232223_at	
RGS1	3	202988_s_at:202989_at:216834_at	
PPME1	3	217841_s_at:243443_at:49077_at	
KHSRP	4	204371_s_at:227555_s_at:204372_s_at:212303_x_at	
PALM	1	203859_s_at	
CCRL2	1	211434_s_at	
TMEM108-AS1	1	1562509_at	
WWC3	2	219520_s_at:225273_at	
ARID2	4	225490_at:225486_at:1553349_at:231090_s_at	
GGT1	7	209918_at:233837_at:207131_x_at:208284_x_at:209919_x_at:215603_x_at:211417_x_at	
RGS8	2	244675_at:224390_s_at	
RGS9	1	206518_s_at	
RGS6	4	236726_at:210270_at:214538_x_at:211448_s_at	
RGS7	3	1554500_a_at:206290_s_at:216970_at	
MAT1A	1	205813_s_at	
TMX4	3	201581_at:201580_s_at:216027_at	
GPANK1	2	225472_at:225476_at	
TMX3	2	225302_at:1552822_at	
TMX2	1	201175_at	
TMX1	2	208097_s_at:209476_at	
MASP2	3	210798_x_at:216968_at:207041_at	
LOC441204	4	240423_at:215297_at:240194_at:240424_s_at	
MASP1	5	210680_s_at:232224_at:206449_s_at:235770_at:213749_at	
MZF1	4	204138_s_at:210336_x_at:40569_at:204139_x_at	
PSMD10	2	1554577_a_at:219485_s_at	
LOC441242	1	236929_at	
PSMD12	2	202352_s_at:202353_s_at	
CALCA	4	210727_at:217495_x_at:210728_s_at:217561_at	
PSMD11	2	208776_at:208777_s_at	
CALCB	1	214636_at	
NXPH2	3	1559355_at:230883_at:232334_at	
PSMD14	1	212296_at	
PSMD13	2	201233_at:201232_s_at	
YTHDC1	5	240459_at:239905_at:214814_at:212455_at:228556_at	
NXPH3	2	228210_at:221991_at	
YTHDC2	4	1568680_s_at:205835_s_at:213077_at:205836_s_at	
NXPH4	1	221967_at	
PTGES3L-AARSD1	2	238740_at:222064_s_at	
MIR4435-2HG	3	232918_at:1562876_s_at:225799_at	
CALCR	2	207886_s_at:207887_s_at	
TBC1D8-AS1	1	237543_at	
CALD1	11	214880_x_at:215198_s_at:201616_s_at:231881_at:235834_at:201617_x_at:243084_at:205525_at:215199_at:212077_at:201615_x_at	
CYP11A1	1	204309_at	
NXPH1	1	232377_at	
GGT5	1	205582_s_at	
MIR9-1HG	4	222301_at:1570451_at:1559402_a_at:205103_at	
FDPS	1	201275_at	
GGT7	4	226470_at:226469_s_at:226471_at:229788_s_at	
GGT6	1	236225_at	
CACFD1	2	61874_at:219223_at	
VTA1	4	224437_s_at:223022_s_at:223021_x_at:237059_at	
LAMA4-AS1	1	240917_at	
CYRIB	3	217534_at:228987_at:217916_s_at	
CYRIA	3	209683_at:230276_at:208092_s_at	
QDPR	3	1560787_at:209123_at:238616_at	
PAN2	1	203117_s_at	
TIMM10B	2	217981_s_at:222481_at	
PAN3	1	225563_at	
CYP11B2	1	214630_at	
CYP11B1	2	1552493_s_at:214610_at	
DKFZp451B082	1	1563511_at	
PICALM	5	215832_x_at:212506_at:212511_at:203134_at:215236_s_at	
TMEM45B	2	230323_s_at:226226_at	
GSK3B	5	226183_at:240562_at:209945_s_at:226191_at:242336_at	
GSK3A	2	632_at:202210_x_at	
MAST4	7	222348_at:225611_at:210958_s_at:243575_at:40016_g_at:225613_at:1554652_s_at	
CPXM2	3	1570026_at:236144_at:226824_at	
PRKCSH	2	214080_x_at:200707_at	
MAST3	1	213045_at	
MAST2	4	215661_at:215903_s_at:215660_s_at:211593_s_at	
MAST1	1	217231_s_at	
TRIAP1	1	218403_at	
TMEM191A	1	223628_at	
CALB2	1	205428_s_at	
CALB1	2	205626_s_at:205625_s_at	
TIMM17A	4	201822_at:215168_at:201821_s_at:215171_s_at	
MLST8	1	220587_s_at	
LOC286437	1	239762_at	
TIMM17B	2	1559909_a_at:203342_at	
CPXM1	1	227860_at	
CYREN	2	220949_s_at:1561894_at	
HSDL2	4	209512_at:209513_s_at:1559128_at:215436_at	
POU1F1	1	207846_at	
HSDL1	1	223248_at	
AZGP1P1	1	217013_at	
MASTL	1	228468_at	
ZP1	1	237335_at	
EAPP	1	202623_at	
ZP2	1	207933_at	
TMEM45A	1	219410_at	
PAOX	4	238334_at:238333_s_at:50400_at:221941_at	
ZP4	1	231756_at	
PARG	1	205060_at	
PARN	1	203905_at	
MAT2B	2	229284_at:217993_s_at	
SAMHD1	6	1559883_s_at:235529_x_at:204502_at:234987_at:1559882_at:235964_x_at	
AURKC	1	211107_s_at	
AURKB	2	209464_at:239219_at	
PARL	2	228881_at:218271_s_at	
AURKA	3	208079_s_at:208080_at:204092_s_at	
ATOH7	2	1552879_a_at:1552878_at	
MAT2A	3	200768_s_at:213705_at:200769_s_at	
SH3TC2	3	219710_at:240966_at:233561_at	
SH3TC1	2	219256_s_at:229832_x_at	
ATOH8	3	1558705_at:228890_at:1558706_a_at	
SMNDC1	1	200071_at	
ATOH1	1	221336_at	
R3HDML	1	234774_at	
CHURC1	3	226736_at:233268_s_at:223210_at	
REXO1L1P	1	1553009_s_at	
PAFAH1B2P2	3	237957_at:1564533_at:1570009_at	
CEP170P1	1	1552717_s_at	
CYP24A1	1	206504_at	
R3HDM4	2	55705_at:221764_at	
R3HDM1	2	210714_at:202754_at	
R3HDM2	1	203831_at	
CNTFR	1	205723_at	
PATJ	6	239173_at:240570_at:214705_at:232041_at:214493_s_at:223681_s_at	
SOX21	1	208468_at	
ARIH2OS	1	1559532_at	
HOXA9	1	214651_s_at	
SOX17	2	219993_at:230943_at	
SOX18	1	219568_x_at	
SOX15	2	217040_x_at:206122_at	
FDXR	1	207813_s_at	
HOXA3	2	208604_s_at:235521_at	
HOXA2	1	214457_at	
HOXA1	1	214639_s_at	
HOXA7	4	235753_at:239915_at:206848_at:206847_s_at	
HOXA6	1	208557_at	
LOC441179	1	239665_at	
HOXA5	1	213844_at	
HOXA4	1	206289_at	
UNC13B	1	202893_at	
UNC13C	4	1556095_at:1556096_s_at:1562074_a_at:1569969_a_at	
UNC13A	2	227453_at:214817_at	
ZNF705G	1	237711_at	
SOX13	3	1569111_at:38918_at:209736_at	
SYTL1	1	227134_at	
SOX14	1	208574_at	
LGALS14	1	220158_at	
SOX11	3	204913_s_at:204915_s_at:204914_s_at	
SOX12	2	228358_at:204432_at	
FLJ42351	1	230452_at	
SYTL5	2	1553033_at:242093_at	
PASK	3	216945_x_at:213534_s_at:206594_at	
SYTL4	3	227703_s_at:229991_s_at:1563513_at	
SOX10	2	209843_s_at:209842_at	
SYTL3	4	1562255_at:1561882_at:236864_at:238423_at	
UNC13D	3	226678_at:228350_at:228352_at	
ACTR3-AS1	1	237075_at	
SYTL2	3	220613_s_at:225496_s_at:232914_s_at	
ZNF529-AS1	1	237364_at	
FCAMR	1	231496_at	
HOXB9	2	216417_x_at:226461_at	
PRR19	1	231176_at	
LGALS13	1	220440_at	
FDX1	3	239161_at:203647_s_at:203646_at	
LGALS12	1	223828_s_at	
PRR16	2	1554867_a_at:220014_at	
FDX2	1	226451_at	
HOXB4	1	231767_at	
ETS1-AS1	1	1562870_at	
HOXB3	2	208414_s_at:228904_at	
PRR15	1	226961_at	
HOXB2	1	205453_at	
PRR18	1	238008_at	
HOXB1	2	208224_at:243811_at	
HOXB8	2	229667_s_at:221278_at	
PRR12	1	226716_at	
HOXB7	3	204778_x_at:204779_s_at:216973_s_at	
PRR11	3	228273_at:219392_x_at:232215_x_at	
LINS1	5	1554456_a_at:228348_at:231976_at:220121_at:1554455_at	
PRR14	3	1559397_s_at:45687_at:218714_at	
HOXB6	2	205365_at:205366_s_at	
HOXB5	2	205600_x_at:205601_s_at	
PRR13	1	217794_at	
CDC42SE1	4	222537_s_at:229120_s_at:223674_s_at:218157_x_at	
HOXD1	2	205974_at:205975_s_at	
ENDOD1	2	212570_at:212573_at	
SNU13	3	201077_s_at:201076_at:230443_at	
SKA3	1	227165_at	
HIF1A	1	200989_at	
SKA1	1	217640_x_at	
SKA2	2	225684_at:225686_at	
POU5F1B	1	214532_x_at	
INE1	1	207252_at	
HOXC5	1	206739_at	
HOXC4	1	206194_at	
PRR29	2	213620_s_at:232972_at	
HOXC9	1	231936_at	
PRR22	2	1552272_a_at:1552271_at	
NXNL1	1	1553755_at	
RREB1	7	242297_at:203704_s_at:216648_s_at:215032_at:215620_at:216649_at:217411_s_at	
KIAA0319L	2	222468_at:217929_s_at	
HOXC8	1	221350_at	
NXNL2	1	1552816_at	
ELANE	1	206871_at	
HOXC6	1	206858_s_at	
PRR30	1	237319_at	
PRR32	1	240043_at	
LOC284009	1	1557399_at	
MAD2L1BP	1	203094_at	
MTHFR	5	226929_at:206800_at:217070_at:239035_at:217071_s_at	
OR5P3	1	1553078_at	
MTHFS	2	203433_at:1559069_at	
OR5P2	1	1552991_at	
INO80	2	229356_x_at:225357_s_at	
SOX30	2	1559235_a_at:207678_s_at	
GLUD1	2	200947_s_at:200946_x_at	
LOC730101	1	213248_at	
GLUD2	2	210447_at:215794_x_at	
HOXC-AS3	1	1561273_at	
TNFSF4	1	207426_s_at	
CSMD2-AS1	1	1569696_at	
ZNF702P	1	206557_at	
UNC119	1	203271_s_at	
TNFSF9	1	206907_at	
HOXD4	2	1552337_s_at:205522_at	
TNFSF8	3	241819_at:235735_at:207216_at	
CLMAT3	1	1561413_at	
HOXD3	3	206602_s_at:217076_s_at:206601_s_at	
PRR34	1	220681_at	
HOXD9	2	205604_at:205605_at	
PRR36	1	220584_at	
HOXD8	1	231906_at	
CDC42SE2	4	1552612_at:1552613_s_at:229026_at:224709_s_at	
PRR35	1	1553826_a_at	
TINAGL1	1	219058_x_at	
HIF3A	7	232669_at:222124_at:222123_s_at:1555318_at:1556069_s_at:233517_s_at:219319_at	
CYB561D1	1	227981_at	
LOC105369167	2	1559939_at:1559940_s_at	
ING1	4	208415_x_at:210350_x_at:244177_at:209808_x_at	
CYB561D2	2	229636_at:209665_at	
ING4	2	218234_at:48825_at	
ING5	5	228672_at:241447_at:223871_x_at:229197_at:228287_at	
ING2	2	213544_at:205981_s_at	
ING3	4	231863_at:242293_at:205070_at:230719_at	
LOC100508046	1	235445_at	
PAXX	1	226070_at	
STPG3-AS1	1	238093_at	
PDCD4-AS1	1	222307_at	
BATF2	1	228439_at	
BATF3	1	220358_at	
CNTD1	1	231463_at	
HSBP1	2	200941_at:200942_s_at	
TNNC1	1	209904_at	
TNNC2	1	205388_at	
PAX4	2	211176_s_at:207867_at	
PAWR	7	226223_at:204004_at:204005_s_at:226231_at:229515_at:214237_x_at:214090_at	
PAX3	4	216059_at:207679_at:207680_x_at:231666_at	
PAX6	2	235795_at:205646_s_at	
PAX5	2	206802_at:221969_at	
ARHGAP5-AS1	1	228889_at	
TTLL7-IT1	1	1561682_at	
PAX2	2	206229_x_at:206228_at	
PAX1	3	231445_at:214401_at:1553492_a_at	
OR5V1	2	208098_at:234840_s_at	
INF2	4	224469_s_at:222534_s_at:222535_at:218144_s_at	
PAX8	8	207923_x_at:213917_at:207921_x_at:209552_at:121_at:207924_x_at:221990_at:214528_s_at	
PAX7	2	208060_at:1556638_at	
PAX9	2	207059_at:231145_at	
CTDP1	1	205035_at	
AHNAK	5	1563560_at:220016_at:211986_at:238855_at:235281_x_at	
TM9SF4	2	212198_s_at:212194_s_at	
TM9SF3	5	228610_at:217758_s_at:224755_at:222399_s_at:239626_x_at	
MIR503HG	3	228235_at:229784_at:227488_at	
H2BS1	1	208579_x_at	
METTL7B	1	227055_at	
METTL7A	4	211424_x_at:244376_at:207761_s_at:209703_x_at	
RHBG	1	220510_at	
FZD10-AS1	2	239569_at:243351_at	
LOC441155	1	205787_x_at	
WWOX	5	223868_s_at:221147_x_at:223747_x_at:219077_s_at:210695_s_at	
PMCHL1	4	224421_x_at:217123_x_at:224418_x_at:224419_x_at	
ADAT1	1	219384_s_at	
PMCHL2	2	224423_x_at:224422_x_at	
WWP1	2	212638_s_at:212637_s_at	
WWP2	4	1552737_s_at:210200_at:204022_at:1554580_a_at	
MZT1	2	225578_at:228530_at	
AACSP1	1	1570020_at	
KTN1	3	200915_x_at:214709_s_at:200914_x_at	
ADAT2	2	227213_at:236817_at	
TM9SF2	1	201078_at	
TM9SF1	3	209150_s_at:209149_s_at:238948_at	
INGX	1	224245_at	
STING1	2	224916_at:224929_at	
ZYX	2	200808_s_at:215706_x_at	
RHAG	3	206146_s_at:206145_at:211254_x_at	
NOTUM	1	228649_at	
INHA	1	210141_s_at	
CYB561	5	217200_x_at:210816_s_at:207986_x_at:209163_at:209164_s_at	
GHDC	1	227159_at	
LINC02443	1	1563300_at	
LINC01111	1	1570155_at	
TOR2A	2	227972_at:244155_x_at	
CLSTN2	2	229580_at:219414_at	
CLSTN3	1	204375_at	
CLSTN1	1	201561_s_at	
RTKN2	2	242047_at:230469_at	
LOC101929109	1	243728_at	
BZW2	1	217809_at	
BZW1	2	200776_s_at:200777_s_at	
PYCARD	1	221666_s_at	
SMR3B	1	207441_at	
TUBB6	1	209191_at	
SMR3A	2	214566_at:214565_s_at	
TUBB3	2	202154_x_at:213476_x_at	
TUBB1	2	230690_at:208601_s_at	
LINC01106	1	235083_at	
LINC01107	1	1562214_at	
SMARCAD1	1	223197_s_at	
STK32A	4	1559624_at:1553938_a_at:229866_at:239353_at	
LINC01102	1	230495_at	
LINC02433	1	1560823_at	
LINC01103	1	1564595_at	
STK32B	1	219686_at	
LINC02436	1	1557631_at	
LINC01104	1	1563679_at	
STK32C	1	227634_at	
TOR3A	2	233851_s_at:218459_at	
LOC550113	1	1556992_at	
LINC01101	1	1553385_at	
LINC02431	1	1561228_at	
LOC101929116	1	1569782_at	
CYB561A3	1	224735_at	
LOC101929114	1	1557664_at	
INIP	5	223558_at:1560558_at:235917_at:223559_s_at:239363_at	
ADAM2	1	207664_at	
RALGAPB	3	221736_at:221738_at:224678_at	
ADAM6	1	237909_at	
ADAM5	2	216998_s_at:217003_s_at	
ADAM9	3	1570042_a_at:1555326_a_at:202381_at	
LINC02426	1	1562923_at	
ADAM8	2	205179_s_at:205180_s_at	
ADAM7	3	211239_s_at:211238_at:239079_at	
TNIK	4	239288_at:211828_s_at:213109_at:213107_at	
RHCG	1	219554_at	
RHCE	2	216317_x_at:215819_s_at	
INTS6L	1	227485_at	
LINC02424	1	1568711_a_at	
METTL2B	2	222276_at:221079_s_at	
MINDY3	2	1554509_a_at:218297_at	
DNMT1	1	201697_s_at	
LINC01133	2	238901_at:239370_at	
MINDY4	2	235559_at:1557141_at	
LINC01134	2	1569604_at:1569895_at	
RTL10	1	219560_at	
FECH	3	229696_at:203116_s_at:203115_at	
MINDY1	2	226062_x_at:221856_s_at	
TNKS	4	1569391_at:202561_at:217121_at:216695_s_at	
MINDY2	4	214691_x_at:222111_at:226873_at:37802_r_at	
METTL2A	1	225253_s_at	
LOC101929122	1	240460_at	
RHEX	3	222281_s_at:230381_at:222334_at	
ITPRIPL2	6	1568619_s_at:228074_at:227954_at:227956_at:227514_at:227792_at	
ADAP2	2	222876_s_at:219358_s_at	
ITPRIPL1	1	240037_at	
PITRM1	2	205273_s_at:239378_at	
LINC01128	6	1557055_s_at:236624_at:235497_at:227201_at:237011_at:231942_at	
SKIL	5	225227_at:217591_at:232379_at:206675_s_at:215889_at	
H2BW2	1	234899_at	
LINC01126	2	231189_at:1555124_at	
LINC02458	1	1559595_at	
LINC01127	1	1560679_at	
LINC01120	2	240546_at:1560912_at	
LINC01121	1	1562601_at	
LINC01122	2	1557472_a_at:1562326_at	
TOR1A	3	202349_at:202348_s_at:1554849_at	
LINC01123	1	242222_at	
TNK2	5	216439_at:203839_s_at:228279_s_at:203838_s_at:1555557_a_at	
CEP350	4	213956_at:213165_at:213957_s_at:204373_s_at	
TNK1	2	205793_x_at:217149_x_at	
MSC-AS1	1	228438_at	
TOR1B	1	209593_s_at	
ADAP1	2	90265_at:219150_s_at	
RHEB	9	201453_x_at:1555780_a_at:201452_at:213404_s_at:243008_at:201451_x_at:213409_s_at:241795_at:227633_at	
LINC01118	1	237840_at	
SERINC1	1	208671_at	
LINC01119	1	230799_at	
SERINC3	4	221471_at:221472_at:221473_x_at:211769_x_at	
SERINC2	4	222961_at:224762_at:220490_at:220489_s_at	
LINC01114	1	239879_at	
LINC01115	1	1562844_at	
SERINC5	1	212812_at	
TUBA8	1	220069_at	
LINC01116	1	228564_at	
DAGLA	1	214128_at	
CSAG3	1	220445_s_at	
LOC101929148	2	216664_at:216665_s_at	
LOC100499489	2	235323_at:228207_at	
SCPEP1	2	218217_at:1560665_at	
METTL14	4	227601_at:235552_at:241689_at:236060_at	
DMRTB1	1	240313_at	
MCM8-AS1	1	1557334_a_at	
METTL16	3	238931_at:220797_at:226744_at	
METTL15	7	1567590_at:1567591_at:238773_at:242247_at:1562830_at:1565898_at:1565900_at	
SPANXC	1	220217_x_at	
METTL18	1	213528_at	
