NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SUCO	1	203429_s_at	
IL36G	1	220322_at	
CPLANE1	2	1562387_at:219381_at	
CPLANE2	2	220963_s_at:244834_at	
NET1	2	201829_at:201830_s_at	
ZBTB9	1	226163_at	
PEX5L	4	222910_s_at:219642_s_at:241833_at:240053_x_at	
LOC100506990	2	238716_at:227917_at	
MC1R	1	205458_at	
ZBTB6	1	206098_at	
FAM30A	2	206478_at:220377_at	
LOC100505664	1	231089_at	
SPDYA	1	238262_at	
GRB2	3	215075_s_at:223049_at:228572_at	
GRAP	2	229726_at:206620_at	
C8B	1	206979_at	
TFB1M	4	219169_s_at:232022_at:222942_s_at:228075_x_at	
C8A	1	206305_s_at	
MC4R	1	221467_at	
KCNT1	3	1569461_at:1569462_x_at:1563608_a_at	
C8G	1	210324_at	
KCNT2	2	234103_at:244455_at	
SUFU	4	224201_s_at:224202_at:222749_at:224203_at	
RNF213-AS1	1	1569078_at	
BBS9	5	37549_g_at:209958_s_at:37547_at:216239_at:1555555_at	
FCER1A	2	1562537_at:211734_s_at	
BBS7	2	235007_at:219688_at	
BBS5	1	230697_at	
BBS4	2	212744_at:212745_s_at	
H3C8	1	208496_x_at	
ZHX2	2	203556_at:1557706_at	
PCYT1B	3	232553_at:206751_s_at:210456_at	
FCER1G	2	204232_at:1554899_s_at	
PCYT1A	3	204209_at:204210_s_at:225069_at	
ZHX3	2	212545_s_at:217367_s_at	
LOC101927814	2	1568754_at:1568755_a_at	
LOC101927811	1	230446_at	
AGTRAP	3	225059_at:238135_at:1555736_a_at	
CACYBP	4	201381_x_at:201382_at:210691_s_at:211761_s_at	
TFB2M	4	1566930_at:218605_at:1566932_x_at:1566931_at	
ZHX1	2	223214_s_at:223213_s_at	
RNF144A	2	1570051_at:204040_at	
PHACTR2-AS1	2	237614_at:1556859_a_at	
MC3R	1	221442_at	
RNF144B	4	235549_at:239012_at:239704_at:228153_at	
KCNU1	1	237273_at	
